Designator,Mid X,Mid Y,Rotation,Layer
C1_2,141.75,-136.25,270.0,top
C1,154.175,-92.75,180.0,top
C10_2,156.5,-112.5,90.0,top
C10,161.35,-89.05,180.0,top
C11,127.9,-141.6,180.0,top
C12,127.9,-140.1,180.0,top
C2_2,158.25,-136.25,90.0,top
C2,138.0,-78.5,180.0,top
C3_2,142.5,-128.25,180.0,top
C3,166.0,-78.5,0.0,top
C4_2,157.5,-128.25,0.0,top
C4,134.0,-78.5,180.0,top
C5_2,165.75,-133.75,180.0,top
C5,162.0,-78.5,180.0,top
C6_2,160.5,-112.5,270.0,top
C6,139.0,-65.4875,270.0,top
C7_2,140.25,-136.25,270.0,top
C7,138.15,-62.9875,0.0,top
C8_2,158.0,-112.5,90.0,top
C8,138.15,-61.4875,0.0,top
C9_2,170.25,-133.75,180.0,top
C9,161.35,-87.55,180.0,top
D1_2,158.25,-132.5,90.0,top
D1,172.5,-58.0,270.0,top
D2_2,141.75,-132.5,90.0,top
D2,127.5,-58.0,270.0,top
D3_2,164.25,-135.975,0.0,top
D3,150.0,-85.9,0.0,top
J1_2,170.0,-141.85,0.0,top
J1,150.0,-99.875,0.0,top
J10,172.0,-96.5,90.0,bottom
J13_2,132.45,-134.7,0.0,top
J13,162.572906,-91.434,0.0,top
J14,172.0,-68.75,270.0,top
J15,172.0,-85.775,90.0,bottom
J2_2,176.995,-120.75,0.0,top
J2,128.5,-80.1,90.0,top
J3_2,128.5,-88.3,90.0,top
J4_2,123.005,-120.75,180.0,top
J4,128.5,-96.5,90.0,top
J5_2,172.0,-80.1,270.0,top
J6_2,172.0,-88.3,270.0,top
J7,172.0,-96.5,270.0,top
J8,128.5,-68.75,90.0,top
J9,128.5,-96.5,270.0,bottom
Q1,135.0,-85.5,90.0,top
Q2,165.0,-85.5,90.0,top
R1_2,172.2,-135.975,90.0,top
R1,152.575,-94.25,0.0,top
R10_2,125.5,-132.2,180.0,top
R10,158.5,-60.75,0.0,top
R11_2,134.1,-140.1,0.0,top
R11,137.5,-65.4,270.0,top
R12_2,122.5,-133.1,0.0,top
R12,136.0,-65.4,270.0,top
R13,134.5,-65.4,270.0,top
R14,133.0,-65.4,270.0,top
R15,166.6,-96.8,180.0,top
R16,163.35,-96.8,0.0,top
R17,160.1,-96.8,0.0,top
R18,159.1,-98.3,0.0,top
R19,156.8,-96.8,180.0,top
R2_2,168.75,-135.975,90.0,top
R2,147.5,-94.25,180.0,top
R20,165.5,-98.3,0.0,top
R3_2,134.1,-141.6,180.0,top
R3,139.5,-88.5,180.0,top
R4_2,163.25,-138.25,180.0,top
R4,135.0,-82.5,180.0,top
R5_2,131.1,-140.1,180.0,top
R5,135.5,-88.5,0.0,top
R6_2,131.1,-141.6,180.0,top
R6,165.0,-82.5,180.0,top
R7_2,159.75,-132.5,90.0,top
R7,171.0,-58.0,270.0,top
R8_2,140.25,-132.5,90.0,top
R8,129.0,-58.0,270.0,top
R9_2,162.0,-112.5,270.0,top
R9,141.5,-60.75,180.0,top
S1_2,163.25,-141.5,270.0,top
S1,159.5,-58.25,180.0,top
S2_2,176.75,-141.5,270.0,top
S2,140.5,-58.25,180.0,top
U1,137.5,-94.5,90.0,top
U2,133.25,-127.0,270.0,top
U3_2,166.75,-127.0,270.0,top
U3,136.0,-73.0,270.0,top
U4,164.0,-73.0,270.0,top
U6,146.25,-133.5,270.0,top
U7,153.75,-133.5,270.0,top
