Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C3, C4_2, C4, C5_2, C5, C7, C9",0603,8,10uF,C3039698
"C1, C10_2, C10, C12, C2_2, C2, C3_2, C8_2",0603,8,0.1uf,C1591
"C11, C7_2, C8, C9_2",0603,4,22uF,C84419
"C6_2, C6",0603,2,1uF,C95843
"D1_2, D1, D2_2, D2",0603,4,LED,C7207730
"D3_2, D3",DIO_PMEG3050EP_115,2,PMEG3050EP_115,C50603
"J1_2, J1",MOLEX_2171790001,2,10171746-00021LF,C3197684
J10,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,Fan 1,C189893
"J13_2, J13",MicroSD_473092651,2,MicroSD,C587826
J14,JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,1,Mic,C265111
J15,JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,1,Expansion,C265111
J2_2,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,LEDs 0,C514175
J2,PinHeader_2x08_P2.54mm_Vertical,1,HUB75 Right,C492425
J3_2,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,LEDs 1,C514175
J4_2,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,LEDs 2,C514175
J4,PinHeader_2x08_P2.54mm_Vertical,1,HUB75 Left,C492425
J5_2,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,LEDs 3,C514175
J6_2,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,LEDs 4,C514175
J7,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,LEDs 5,C514175
J8,JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,1,Buttons,C265111
J9,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,Fan 0,C189893
"Q1, Q2",SOT-23,2,DMG3402L,C96614
"R1_2, R1, R2_2, R2",0603,4,5.1K,C328432
"R10, R11, R12, R13, R14, R3, R4_2, R4, R5, R6, R9_2, R9",0603,12,10K,C98220
R7_2,0603,1,145ohm,C2930065
R7,0603,1,147ohm,C2930065
R8_2,0603,1,33ohm,C108661
R8,0603,1,33ohm,C105588
S1_2,SW_B3U-1000P,1,Boot,C231329 
S1,SW_B3U-1000P,1,Boot,C231329
S2_2,SW_B3U-1000P,1,RST,C231329 
S2,SW_B3U-1000P,1,RST,C231329
U1,Sensored,1,Sensored,
"U2, U3",SOIC127P1032X265-20N,2,74HC245D_653,C5625
"U3_2, U6",SOT-223-3_TabPin2,2,LD1117S33TR_SOT223,C86781
"U4, U7",SOT-223-3_TabPin2,2,LD1117S50TR_SOT223,C134077
